T[°C],G [W/m2],Tr. 1,Tr. 2,Tr. 3,Tr. 4,Tr. 5,Tr. 6,Tr. 7,Tr. 8,Tr. 9,Tr. 10,Tr. 11,Tr. 12,Tr. 13,Tr. 14,Tr. 15,Tr. 16,Tr. 17,Tr. 18,Tr. 19,Tr. 20,Tr. 21,Tr. 22,Tr. 23,Tr. 24,Tr. 25,Tr. 26,Tr. 27,Tr. 28,Tr. 29,Tr. 30,Tr. 31,Tr. 32,Tr. 33,Tr. 34,Tr. 35,Tr. 36,Tr. 37,Tr. 38,Tr. 39,Tr. 40,Tr. 41,Tr. 42,Feeder #2,Feeder #3,Feeder #1
34.5,784.6,0.011374,0.045496,0.045496,0.011374,0.028435,0.011374,0.05687,0.034122,0.011374,0.022748,0.0250228,0.011374,0.011374,0.05687,0.011374,0.011374,0.05687,0.011374,0.011374,0.011374,0.05687,0.011374,0.011374,0.0193358,0.022748,0.034122,0.011374,0.034122,0.0375342,0.0420838,0.017061,0.011374,0.045496,0.05687,0.011374,0.022748,0.035259399999999996,0.034122,0.045496,0.022748,0.022748,0.034122,1.7938800000000001,1.4687200000000002,1.1373999999999997
36.63,919.7,0.012407999999999999,0.049631999999999996,0.049631999999999996,0.012407999999999999,0.03102,0.012407999999999999,0.06204,0.03722399999999999,0.012407999999999999,0.024815999999999998,0.027297599999999998,0.012407999999999999,0.012407999999999999,0.06204,0.012407999999999999,0.012407999999999999,0.06204,0.012407999999999999,0.012407999999999999,0.012407999999999999,0.06204,0.012407999999999999,0.012407999999999999,0.021093599999999997,0.024815999999999998,0.03722399999999999,0.012407999999999999,0.03722399999999999,0.040946399999999994,0.045909599999999995,0.018611999999999997,0.012407999999999999,0.049631999999999996,0.06204,0.012407999999999999,0.024815999999999998,0.03846479999999999,0.03722399999999999,0.049631999999999996,0.024815999999999998,0.024815999999999998,0.03722399999999999,1.95696,1.6022399999999999,1.2407999999999992
38.14,977.35,0.013648799999999999,0.054595199999999997,0.054595199999999997,0.013648799999999999,0.034122,0.013648799999999999,0.068244,0.040946399999999994,0.013648799999999999,0.027297599999999998,0.030027360000000003,0.013648799999999999,0.013648799999999999,0.068244,0.013648799999999999,0.013648799999999999,0.068244,0.013648799999999999,0.013648799999999999,0.013648799999999999,0.068244,0.013648799999999999,0.013648799999999999,0.02320296,0.027297599999999998,0.040946399999999994,0.013648799999999999,0.040946399999999994,0.045041040000000004,0.05050056,0.020473199999999997,0.013648799999999999,0.054595199999999997,0.068244,0.013648799999999999,0.027297599999999998,0.04231128,0.040946399999999994,0.054595199999999997,0.027297599999999998,0.027297599999999998,0.040946399999999994,2.152656,1.762464,1.36488
39.03,957.6,0.0142692,0.0570768,0.0570768,0.0142692,0.035673,0.0142692,0.071346,0.0428076,0.0142692,0.0285384,0.03139224,0.0142692,0.0142692,0.071346,0.0142692,0.0142692,0.071346,0.0142692,0.0142692,0.0142692,0.071346,0.0142692,0.0142692,0.024257639999999997,0.0285384,0.0428076,0.0142692,0.0428076,0.04708836,0.052796039999999995,0.0214038,0.0142692,0.0570768,0.071346,0.0142692,0.0285384,0.044234520000000006,0.0428076,0.0570768,0.0285384,0.0285384,0.0428076,2.250504,1.842576,1.4269199999999995
39.34,856.45,0.014062400000000001,0.056249600000000004,0.056249600000000004,0.014062400000000001,0.035156,0.014062400000000001,0.070312,0.042187199999999994,0.014062400000000001,0.028124800000000002,0.03093728,0.014062400000000001,0.014062400000000001,0.070312,0.014062400000000001,0.014062400000000001,0.070312,0.014062400000000001,0.014062400000000001,0.014062400000000001,0.070312,0.014062400000000001,0.014062400000000001,0.02390608,0.028124800000000002,0.042187199999999994,0.014062400000000001,0.042187199999999994,0.04640592,0.05203088,0.021093599999999997,0.014062400000000001,0.056249600000000004,0.070312,0.014062400000000001,0.028124800000000002,0.043593440000000004,0.042187199999999994,0.056249600000000004,0.028124800000000002,0.028124800000000002,0.042187199999999994,2.217888,1.8158720000000002,1.4062400000000004
39.12,683.6,0.0109604,0.0438416,0.0438416,0.0109604,0.027401,0.0109604,0.054802,0.0328812,0.0109604,0.0219208,0.02411288,0.0109604,0.0109604,0.054802,0.0109604,0.0109604,0.054802,0.0109604,0.0109604,0.0109604,0.054802,0.0109604,0.0109604,0.018632680000000002,0.0219208,0.0328812,0.0109604,0.0328812,0.03616932,0.04055348,0.0164406,0.0109604,0.0438416,0.054802,0.0109604,0.0219208,0.03397724,0.0328812,0.0438416,0.0219208,0.0219208,0.0328812,1.728648,1.4153120000000001,1.0960399999999997
38.23,458.5,0.01034,0.04136,0.04136,0.01034,0.02585,0.01034,0.0517,0.03102,0.01034,0.02068,0.022748,0.01034,0.01034,0.0517,0.01034,0.01034,0.0517,0.01034,0.01034,0.01034,0.0517,0.01034,0.01034,0.017578,0.02068,0.03102,0.01034,0.03102,0.034122,0.038258,0.01551,0.01034,0.04136,0.0517,0.01034,0.02068,0.032054,0.03102,0.04136,0.02068,0.02068,0.03102,1.6308,1.3352000000000002,1.0340000000000003
36.85,212.45,0.009305999999999998,0.03722399999999999,0.03722399999999999,0.009305999999999998,0.023265,0.009305999999999998,0.04653,0.027918,0.009305999999999998,0.018611999999999997,0.020473199999999997,0.009305999999999998,0.009305999999999998,0.04653,0.009305999999999998,0.009305999999999998,0.04653,0.009305999999999998,0.009305999999999998,0.009305999999999998,0.04653,0.009305999999999998,0.009305999999999998,0.0158202,0.018611999999999997,0.027918,0.009305999999999998,0.027918,0.030709800000000002,0.0344322,0.013959,0.009305999999999998,0.03722399999999999,0.04653,0.009305999999999998,0.018611999999999997,0.028848600000000002,0.027918,0.03722399999999999,0.018611999999999997,0.018611999999999997,0.027918,1.4677200000000001,1.20168,0.9305999999999999
34.13,20.83,0.008685600000000002,0.03474240000000001,0.03474240000000001,0.008685600000000002,0.021713999999999997,0.008685600000000002,0.043427999999999994,0.026056799999999998,0.008685600000000002,0.017371200000000003,0.019108319999999998,0.008685600000000002,0.008685600000000002,0.043427999999999994,0.008685600000000002,0.008685600000000002,0.043427999999999994,0.008685600000000002,0.008685600000000002,0.008685600000000002,0.043427999999999994,0.008685600000000002,0.008685600000000002,0.01476552,0.017371200000000003,0.026056799999999998,0.008685600000000002,0.026056799999999998,0.028662479999999997,0.032136719999999994,0.013028399999999999,0.008685600000000002,0.03474240000000001,0.043427999999999994,0.008685600000000002,0.017371200000000003,0.026925360000000002,0.026056799999999998,0.03474240000000001,0.017371200000000003,0.017371200000000003,0.026056799999999998,1.369872,1.1215680000000001,0.8685600000000001
32.64,0.0,0.01034,0.04136,0.04136,0.01034,0.02585,0.01034,0.0517,0.03102,0.01034,0.02068,0.022748,0.01034,0.01034,0.0517,0.01034,0.01034,0.0517,0.01034,0.01034,0.01034,0.0517,0.01034,0.01034,0.017578,0.02068,0.03102,0.01034,0.03102,0.034122,0.038258,0.01551,0.01034,0.04136,0.0517,0.01034,0.02068,0.032054,0.03102,0.04136,0.02068,0.02068,0.03102,1.6308,1.3352000000000002,1.0340000000000003
31.93,0.0,0.0148896,0.0595584,0.0595584,0.0148896,0.03722399999999999,0.0148896,0.07444799999999999,0.044668799999999995,0.0148896,0.0297792,0.03275712,0.0148896,0.0148896,0.07444799999999999,0.0148896,0.0148896,0.07444799999999999,0.0148896,0.0148896,0.0148896,0.07444799999999999,0.0148896,0.0148896,0.02531232,0.0297792,0.044668799999999995,0.0148896,0.044668799999999995,0.04913568,0.055091520000000005,0.022334399999999997,0.0148896,0.0595584,0.07444799999999999,0.0148896,0.0297792,0.046157760000000006,0.044668799999999995,0.0595584,0.0297792,0.0297792,0.044668799999999995,2.3483519999999998,1.922688,1.4889599999999992
31.26,0.0,0.01551,0.06204,0.06204,0.01551,0.038775,0.01551,0.07755,0.04653,0.01551,0.03102,0.034122,0.01551,0.01551,0.07755,0.01551,0.01551,0.07755,0.01551,0.01551,0.01551,0.07755,0.01551,0.01551,0.026367,0.03102,0.04653,0.01551,0.04653,0.051183,0.057387,0.023265,0.01551,0.06204,0.07755,0.01551,0.03102,0.048081000000000006,0.04653,0.06204,0.03102,0.03102,0.04653,2.4461999999999997,2.0028,1.5510000000000006
30.65,0.0,0.0074448,0.0297792,0.0297792,0.0074448,0.018611999999999997,0.0074448,0.03722399999999999,0.022334399999999997,0.0074448,0.0148896,0.01637856,0.0074448,0.0074448,0.03722399999999999,0.0074448,0.0074448,0.03722399999999999,0.0074448,0.0074448,0.0074448,0.03722399999999999,0.0074448,0.0074448,0.01265616,0.0148896,0.022334399999999997,0.0074448,0.022334399999999997,0.02456784,0.027545760000000002,0.011167199999999999,0.0074448,0.0297792,0.03722399999999999,0.0074448,0.0148896,0.023078880000000003,0.022334399999999997,0.0297792,0.0148896,0.0148896,0.022334399999999997,1.1741759999999999,0.961344,0.7444799999999996
30.05,0.0,0.014062400000000001,0.056249600000000004,0.056249600000000004,0.014062400000000001,0.035156,0.014062400000000001,0.070312,0.042187199999999994,0.014062400000000001,0.028124800000000002,0.03093728,0.014062400000000001,0.014062400000000001,0.070312,0.014062400000000001,0.014062400000000001,0.070312,0.014062400000000001,0.014062400000000001,0.014062400000000001,0.070312,0.014062400000000001,0.014062400000000001,0.02390608,0.028124800000000002,0.042187199999999994,0.014062400000000001,0.042187199999999994,0.04640592,0.05203088,0.021093599999999997,0.014062400000000001,0.056249600000000004,0.070312,0.014062400000000001,0.028124800000000002,0.043593440000000004,0.042187199999999994,0.056249600000000004,0.028124800000000002,0.028124800000000002,0.042187199999999994,2.217888,1.8158720000000002,1.4062400000000004
